Vertice: 1 | Distancia: 18.32
Vertice: 2 | Distancia: 14.85
Vertice: 3 | Distancia: 17.76
Vertice: 4 | Distancia: 18.39
Vertice: 5 | Distancia: 17.87
Vertice: 6 | Distancia: 16.42
Vertice: 7 | Distancia: 16.22
Vertice: 8 | Distancia: 16.54
Vertice: 9 | Distancia: 18.81
Vertice: 10 | Distancia: 0
Vertice: 11 | Distancia: 16.39
Vertice: 12 | Distancia: 16.17
Vertice: 13 | Distancia: 17.96
Vertice: 14 | Distancia: 14.59
Vertice: 15 | Distancia: 16.34
Vertice: 16 | Distancia: 17.19
Vertice: 17 | Distancia: 17.31
Vertice: 18 | Distancia: 15.18
Vertice: 19 | Distancia: 16.97
Vertice: 20 | Distancia: 17.34
Vertice: 21 | Distancia: 15.47
Vertice: 22 | Distancia: 16.39
Vertice: 23 | Distancia: 15.88
Vertice: 24 | Distancia: 12.67
Vertice: 25 | Distancia: 15.83
Vertice: 26 | Distancia: 17.38
Vertice: 27 | Distancia: 16.09
Vertice: 28 | Distancia: 17.65
Vertice: 29 | Distancia: 16.81
Vertice: 30 | Distancia: 17.24
Vertice: 31 | Distancia: 18.54
Vertice: 32 | Distancia: 16.23
Vertice: 33 | Distancia: 17.99
Vertice: 34 | Distancia: 18.45
Vertice: 35 | Distancia: 13.29
Vertice: 36 | Distancia: 22.73
Vertice: 37 | Distancia: 17.95
Vertice: 38 | Distancia: 15.8
Vertice: 39 | Distancia: 19.42
Vertice: 40 | Distancia: 17.37
Vertice: 41 | Distancia: 18.11
Vertice: 42 | Distancia: 17.13
Vertice: 43 | Distancia: 13.11
Vertice: 44 | Distancia: 12.62
Vertice: 45 | Distancia: 16.07
Vertice: 46 | Distancia: 18.66
Vertice: 47 | Distancia: 16.85
Vertice: 48 | Distancia: 14.69
Vertice: 49 | Distancia: 19.21
Vertice: 50 | Distancia: 15.43
Vertice: 51 | Distancia: 17.61
Vertice: 52 | Distancia: 17.89
Vertice: 53 | Distancia: 17.63
Vertice: 54 | Distancia: 14.39
Vertice: 55 | Distancia: 13.7
Vertice: 56 | Distancia: 18.27
Vertice: 57 | Distancia: 16.47
Vertice: 58 | Distancia: 14.49
Vertice: 59 | Distancia: 16.43
Vertice: 60 | Distancia: 17.99
Vertice: 61 | Distancia: 16.05
Vertice: 62 | Distancia: 17.8
Vertice: 63 | Distancia: 14.51
Vertice: 64 | Distancia: 19.74
Vertice: 65 | Distancia: 18.99
Vertice: 66 | Distancia: 22.62
Vertice: 67 | Distancia: 17.05
Vertice: 68 | Distancia: 21.21
Vertice: 69 | Distancia: 16.93
Vertice: 70 | Distancia: 15.78
Vertice: 71 | Distancia: 17.45
Vertice: 72 | Distancia: 15.67
Vertice: 73 | Distancia: 16.62
Vertice: 74 | Distancia: 15.73
Vertice: 75 | Distancia: 16.53
Vertice: 76 | Distancia: 15.36
Vertice: 77 | Distancia: 15.55
Vertice: 78 | Distancia: 19.23
Vertice: 79 | Distancia: 16.61
Vertice: 80 | Distancia: 16.74
Vertice: 81 | Distancia: 17.2
Vertice: 82 | Distancia: 17.04
Vertice: 83 | Distancia: 15.78
Vertice: 84 | Distancia: 16.6
Vertice: 85 | Distancia: 16.99
Vertice: 86 | Distancia: 16
Vertice: 87 | Distancia: 17.06
Vertice: 88 | Distancia: 17.26
Vertice: 89 | Distancia: 14.8
Vertice: 90 | Distancia: 15.11
Vertice: 91 | Distancia: 15.13
Vertice: 92 | Distancia: 18.09
Vertice: 93 | Distancia: 16.34
Vertice: 94 | Distancia: 15.23
Vertice: 95 | Distancia: 17.35
Vertice: 96 | Distancia: 16.43
Vertice: 97 | Distancia: 19.69
Vertice: 98 | Distancia: 16.59
Vertice: 99 | Distancia: 15.57
Vertice: 100 | Distancia: 17.47
