Vertice: 1 | Pai: 655 | Level: 4 | Grau:44
Vertice: 2 | Pai: 2180 | Level: 10 | Grau:41
Vertice: 3 | Pai: 5087 | Level: 10 | Grau:42
Vertice: 4 | Pai: 1570 | Level: 20 | Grau:40
Vertice: 5 | Pai: 5635 | Level: 14 | Grau:40
Vertice: 6 | Pai: 4879 | Level: 6 | Grau:46
Vertice: 7 | Pai: 8930 | Level: 13 | Grau:43
Vertice: 8 | Pai: 6612 | Level: 6 | Grau:34
Vertice: 9 | Pai: 3421 | Level: 10 | Grau:49
Vertice: 10 | Pai: 0 | Level: 0 | Grau:39
Vertice: 11 | Pai: 5763 | Level: 11 | Grau:51
Vertice: 12 | Pai: 9086 | Level: 4 | Grau:26
Vertice: 13 | Pai: 9803 | Level: 8 | Grau:43
Vertice: 14 | Pai: 3739 | Level: 13 | Grau:35
Vertice: 15 | Pai: 7351 | Level: 8 | Grau:41
Vertice: 16 | Pai: 4575 | Level: 9 | Grau:42
Vertice: 17 | Pai: 4972 | Level: 12 | Grau:34
Vertice: 18 | Pai: 9717 | Level: 10 | Grau:38
Vertice: 19 | Pai: 192 | Level: 11 | Grau:42
Vertice: 20 | Pai: 1034 | Level: 13 | Grau:38
Vertice: 21 | Pai: 724 | Level: 7 | Grau:42
Vertice: 22 | Pai: 1160 | Level: 10 | Grau:52
Vertice: 23 | Pai: 6392 | Level: 7 | Grau:37
Vertice: 24 | Pai: 5515 | Level: 11 | Grau:30
Vertice: 25 | Pai: 7567 | Level: 13 | Grau:48
Vertice: 26 | Pai: 2366 | Level: 9 | Grau:42
Vertice: 27 | Pai: 5208 | Level: 10 | Grau:40
Vertice: 28 | Pai: 4760 | Level: 12 | Grau:47
Vertice: 29 | Pai: 2048 | Level: 6 | Grau:45
Vertice: 30 | Pai: 4045 | Level: 5 | Grau:42
Vertice: 31 | Pai: 6188 | Level: 8 | Grau:37
Vertice: 32 | Pai: 3636 | Level: 10 | Grau:33
Vertice: 33 | Pai: 537 | Level: 3 | Grau:39
Vertice: 34 | Pai: 6151 | Level: 11 | Grau:38
Vertice: 35 | Pai: 3550 | Level: 13 | Grau:53
Vertice: 36 | Pai: 8352 | Level: 6 | Grau:40
Vertice: 37 | Pai: 1527 | Level: 9 | Grau:41
Vertice: 38 | Pai: 4194 | Level: 11 | Grau:39
Vertice: 39 | Pai: 1037 | Level: 16 | Grau:46
Vertice: 40 | Pai: 1223 | Level: 8 | Grau:41
Vertice: 41 | Pai: 9801 | Level: 9 | Grau:48
Vertice: 42 | Pai: 2026 | Level: 6 | Grau:41
Vertice: 43 | Pai: 5449 | Level: 13 | Grau:32
Vertice: 44 | Pai: 3677 | Level: 3 | Grau:45
Vertice: 45 | Pai: 3955 | Level: 13 | Grau:43
Vertice: 46 | Pai: 4139 | Level: 13 | Grau:39
