Vertice: 1 | Pai: 18451 | Level: 9 | Grau:69
Vertice: 2 | Pai: 3269 | Level: 11 | Grau:68
Vertice: 3 | Pai: 5951 | Level: 5 | Grau:53
Vertice: 4 | Pai: 23041 | Level: 12 | Grau:63
Vertice: 5 | Pai: 2523 | Level: 14 | Grau:63
Vertice: 6 | Pai: 16144 | Level: 5 | Grau:74
Vertice: 7 | Pai: 15831 | Level: 6 | Grau:66
Vertice: 8 | Pai: 4389 | Level: 15 | Grau:65
Vertice: 9 | Pai: 10430 | Level: 10 | Grau:65
Vertice: 10 | Pai: 0 | Level: 0 | Grau:58
Vertice: 11 | Pai: 13027 | Level: 16 | Grau:64
Vertice: 12 | Pai: 20783 | Level: 13 | Grau:71
Vertice: 13 | Pai: 15684 | Level: 16 | Grau:69
Vertice: 14 | Pai: 19918 | Level: 13 | Grau:61
Vertice: 15 | Pai: 18471 | Level: 15 | Grau:63
Vertice: 16 | Pai: 20757 | Level: 12 | Grau:77
Vertice: 17 | Pai: 21725 | Level: 12 | Grau:71
Vertice: 18 | Pai: 13610 | Level: 9 | Grau:63
Vertice: 19 | Pai: 9162 | Level: 13 | Grau:52
Vertice: 20 | Pai: 3907 | Level: 14 | Grau:79
Vertice: 21 | Pai: 23358 | Level: 9 | Grau:65
Vertice: 22 | Pai: 2410 | Level: 7 | Grau:62
Vertice: 23 | Pai: 12697 | Level: 12 | Grau:67
Vertice: 24 | Pai: 14897 | Level: 8 | Grau:78
Vertice: 25 | Pai: 3110 | Level: 9 | Grau:69
Vertice: 26 | Pai: 12037 | Level: 11 | Grau:71
Vertice: 27 | Pai: 16102 | Level: 12 | Grau:77
Vertice: 28 | Pai: 1837 | Level: 11 | Grau:76
Vertice: 29 | Pai: 22284 | Level: 10 | Grau:58
Vertice: 30 | Pai: 8688 | Level: 9 | Grau:76
Vertice: 31 | Pai: 1112 | Level: 11 | Grau:56
Vertice: 32 | Pai: 24640 | Level: 12 | Grau:60
Vertice: 33 | Pai: 2315 | Level: 11 | Grau:62
Vertice: 34 | Pai: 12585 | Level: 6 | Grau:80
Vertice: 35 | Pai: 18107 | Level: 11 | Grau:50
Vertice: 36 | Pai: 18805 | Level: 14 | Grau:71
Vertice: 37 | Pai: 9110 | Level: 7 | Grau:73
Vertice: 38 | Pai: 287 | Level: 6 | Grau:61
Vertice: 39 | Pai: 11144 | Level: 14 | Grau:63
Vertice: 40 | Pai: 11469 | Level: 10 | Grau:66
Vertice: 41 | Pai: 11292 | Level: 13 | Grau:54
Vertice: 42 | Pai: 16169 | Level: 8 | Grau:72
Vertice: 43 | Pai: 22662 | Level: 11 | Grau:54
Vertice: 44 | Pai: 13232 | Level: 15 | Grau:70
Vertice: 45 | Pai: 24425 | Level: 15 | Grau:55
Vertice: 46 | Pai: 19691 | Level: 10 | Grau:70
Vertice: 47 | Pai: 2990 | Level: 10 | Grau:69
Vertice: 48 | Pai: 19748 | Level: 7 | Grau:72
Vertice: 49 | Pai: 598 | Level: 6 | Grau:68
Vertice: 50 | Pai: 14607 | Level: 12 | Grau:62
Vertice: 51 | Pai: 12274 | Level: 10 | Grau:62
Vertice: 52 | Pai: 22628 | Level: 10 | Grau:73
Vertice: 53 | Pai: 4433 | Level: 19 | Grau:69
Vertice: 54 | Pai: 627 | Level: 6 | Grau:62
Vertice: 55 | Pai: 13262 | Level: 10 | Grau:61
Vertice: 56 | Pai: 19754 | Level: 6 | Grau:58
Vertice: 57 | Pai: 21139 | Level: 16 | Grau:75
Vertice: 58 | Pai: 20126 | Level: 13 | Grau:83
Vertice: 59 | Pai: 17022 | Level: 13 | Grau:58
Vertice: 60 | Pai: 10430 | Level: 10 | Grau:63
Vertice: 61 | Pai: 12922 | Level: 7 | Grau:77
Vertice: 62 | Pai: 9964 | Level: 13 | Grau:60
Vertice: 63 | Pai: 24194 | Level: 14 | Grau:57
Vertice: 64 | Pai: 19886 | Level: 10 | Grau:73
Vertice: 65 | Pai: 10712 | Level: 16 | Grau:54
Vertice: 66 | Pai: 3394 | Level: 13 | Grau:60
Vertice: 67 | Pai: 125 | Level: 12 | Grau:54
Vertice: 68 | Pai: 11473 | Level: 10 | Grau:49
Vertice: 69 | Pai: 14098 | Level: 10 | Grau:79
Vertice: 70 | Pai: 22178 | Level: 11 | Grau:50
Vertice: 71 | Pai: 523 | Level: 15 | Grau:67
Vertice: 72 | Pai: 24917 | Level: 7 | Grau:61
Vertice: 73 | Pai: 19435 | Level: 4 | Grau:71
Vertice: 74 | Pai: 20152 | Level: 8 | Grau:72
Vertice: 75 | Pai: 23307 | Level: 7 | Grau:66
Vertice: 76 | Pai: 21271 | Level: 10 | Grau:71
Vertice: 77 | Pai: 12918 | Level: 14 | Grau:69
Vertice: 78 | Pai: 10510 | Level: 14 | Grau:59
Vertice: 79 | Pai: 12116 | Level: 11 | Grau:59
Vertice: 80 | Pai: 8340 | Level: 13 | Grau:56
Vertice: 81 | Pai: 6345 | Level: 12 | Grau:61
Vertice: 82 | Pai: 21619 | Level: 8 | Grau:65
Vertice: 83 | Pai: 9598 | Level: 12 | Grau:63
Vertice: 84 | Pai: 20205 | Level: 6 | Grau:85
Vertice: 85 | Pai: 15276 | Level: 9 | Grau:80
Vertice: 86 | Pai: 23799 | Level: 14 | Grau:50
Vertice: 87 | Pai: 3176 | Level: 12 | Grau:62
Vertice: 88 | Pai: 14105 | Level: 10 | Grau:62
Vertice: 89 | Pai: 18156 | Level: 12 | Grau:75
Vertice: 90 | Pai: 9342 | Level: 9 | Grau:66
Vertice: 91 | Pai: 21630 | Level: 10 | Grau:71
Vertice: 92 | Pai: 17036 | Level: 8 | Grau:73
Vertice: 93 | Pai: 14146 | Level: 11 | Grau:57
Vertice: 94 | Pai: 11834 | Level: 12 | Grau:68
Vertice: 95 | Pai: 619 | Level: 14 | Grau:64
Vertice: 96 | Pai: 23869 | Level: 12 | Grau:81
Vertice: 97 | Pai: 11402 | Level: 11 | Grau:56
Vertice: 98 | Pai: 2194 | Level: 14 | Grau:73
Vertice: 99 | Pai: 4080 | Level: 14 | Grau:70
Vertice: 100 | Pai: 489 | Level: 5 | Grau:62
