Vertice: 1 | Distancia: 0.79
Vertice: 2 | Distancia: 0.69
Vertice: 3 | Distancia: 1.04
Vertice: 4 | Distancia: 1
Vertice: 5 | Distancia: 0.8
Vertice: 6 | Distancia: 1.15
Vertice: 7 | Distancia: 1.18
Vertice: 8 | Distancia: 0.47
Vertice: 9 | Distancia: 1.06
Vertice: 10 | Distancia: 0
Vertice: 11 | Distancia: 0.9
Vertice: 12 | Distancia: 1.04
Vertice: 13 | Distancia: 0.79
Vertice: 14 | Distancia: 1.08
Vertice: 15 | Distancia: 1.11
Vertice: 16 | Distancia: 0.85
Vertice: 17 | Distancia: 0.89
Vertice: 18 | Distancia: 0.9
Vertice: 19 | Distancia: 0.93
Vertice: 20 | Distancia: 0.8
Vertice: 21 | Distancia: 0.83
Vertice: 22 | Distancia: 0.88
Vertice: 23 | Distancia: 0.89
Vertice: 24 | Distancia: 0.88
Vertice: 25 | Distancia: 0.83
Vertice: 26 | Distancia: 1.07
Vertice: 27 | Distancia: 0.74
Vertice: 28 | Distancia: 0.84
Vertice: 29 | Distancia: 0.72
Vertice: 30 | Distancia: 0.89
Vertice: 31 | Distancia: 0.73
Vertice: 32 | Distancia: 0.77
Vertice: 33 | Distancia: 1.12
Vertice: 34 | Distancia: 0.96
Vertice: 35 | Distancia: 0.78
Vertice: 36 | Distancia: 0.66
Vertice: 37 | Distancia: 0.72
Vertice: 38 | Distancia: 1.01
Vertice: 39 | Distancia: 0.67
Vertice: 40 | Distancia: 0.84
Vertice: 41 | Distancia: 0.75
Vertice: 42 | Distancia: 0.9
Vertice: 43 | Distancia: 0.9
Vertice: 44 | Distancia: 0.99
Vertice: 45 | Distancia: 1.14
Vertice: 46 | Distancia: 0.94
Vertice: 47 | Distancia: 1.09
Vertice: 48 | Distancia: 1.15
Vertice: 49 | Distancia: 0.73
Vertice: 50 | Distancia: 0.87
Vertice: 51 | Distancia: 0.88
Vertice: 52 | Distancia: 0.77
Vertice: 53 | Distancia: 1.1
Vertice: 54 | Distancia: 0.88
Vertice: 55 | Distancia: 0.68
Vertice: 56 | Distancia: 0.94
Vertice: 57 | Distancia: 0.99
Vertice: 58 | Distancia: 0.63
Vertice: 59 | Distancia: 1
Vertice: 60 | Distancia: 0.97
Vertice: 61 | Distancia: 0.82
Vertice: 62 | Distancia: 0.87
Vertice: 63 | Distancia: 0.71
Vertice: 64 | Distancia: 0.89
Vertice: 65 | Distancia: 0.9
Vertice: 66 | Distancia: 0.85
Vertice: 67 | Distancia: 1.14
Vertice: 68 | Distancia: 0.82
Vertice: 69 | Distancia: 0.83
Vertice: 70 | Distancia: 0.66
Vertice: 71 | Distancia: 0.86
Vertice: 72 | Distancia: 0.96
Vertice: 73 | Distancia: 0.96
Vertice: 74 | Distancia: 0.85
Vertice: 75 | Distancia: 0.76
Vertice: 76 | Distancia: 0.79
Vertice: 77 | Distancia: 0.93
Vertice: 78 | Distancia: 0.79
Vertice: 79 | Distancia: 0.62
Vertice: 80 | Distancia: 0.73
Vertice: 81 | Distancia: 0.93
Vertice: 82 | Distancia: 0.84
Vertice: 83 | Distancia: 0.9
Vertice: 84 | Distancia: 1.02
Vertice: 85 | Distancia: 1.16
Vertice: 86 | Distancia: 1.05
Vertice: 87 | Distancia: 0.89
Vertice: 88 | Distancia: 0.67
Vertice: 89 | Distancia: 0.99
Vertice: 90 | Distancia: 0.81
Vertice: 91 | Distancia: 0.83
Vertice: 92 | Distancia: 0.83
Vertice: 93 | Distancia: 1.14
Vertice: 94 | Distancia: 0.95
Vertice: 95 | Distancia: 0.91
Vertice: 96 | Distancia: 1.03
Vertice: 97 | Distancia: 0.94
Vertice: 98 | Distancia: 0.89
Vertice: 99 | Distancia: 1.02
Vertice: 100 | Distancia: 0.74
