Vertice: 1 | Distancia: 1.48
Vertice: 2 | Distancia: 2.18
Vertice: 3 | Distancia: 2.05
Vertice: 4 | Distancia: 2.42
Vertice: 5 | Distancia: 2.45
Vertice: 6 | Distancia: 1.93
Vertice: 7 | Distancia: 2.5
Vertice: 8 | Distancia: 1.64
Vertice: 9 | Distancia: 1.87
Vertice: 10 | Distancia: 0
Vertice: 11 | Distancia: 2.1
Vertice: 12 | Distancia: 2.42
Vertice: 13 | Distancia: 2.36
Vertice: 14 | Distancia: 2.35
Vertice: 15 | Distancia: 1.8
Vertice: 16 | Distancia: 2.14
Vertice: 17 | Distancia: 2.02
Vertice: 18 | Distancia: 2.23
Vertice: 19 | Distancia: 2.49
Vertice: 20 | Distancia: 2.38
Vertice: 21 | Distancia: 1.48
Vertice: 22 | Distancia: 2.19
Vertice: 23 | Distancia: 2.52
Vertice: 24 | Distancia: 2.52
Vertice: 25 | Distancia: 2.53
Vertice: 26 | Distancia: 2.03
Vertice: 27 | Distancia: 1.94
Vertice: 28 | Distancia: 2.1
Vertice: 29 | Distancia: 1.78
Vertice: 30 | Distancia: 1.72
Vertice: 31 | Distancia: 2.52
Vertice: 32 | Distancia: 1.92
Vertice: 33 | Distancia: 1.43
Vertice: 34 | Distancia: 2.41
Vertice: 35 | Distancia: 2.74
Vertice: 36 | Distancia: 1.65
Vertice: 37 | Distancia: 2.02
Vertice: 38 | Distancia: 2.01
Vertice: 39 | Distancia: 2.54
Vertice: 40 | Distancia: 2.05
Vertice: 41 | Distancia: 2.34
Vertice: 42 | Distancia: 1.45
Vertice: 43 | Distancia: 2.05
Vertice: 44 | Distancia: 1.58
Vertice: 45 | Distancia: 2.41
Vertice: 46 | Distancia: 2.87
Vertice: 47 | Distancia: 1.94
Vertice: 48 | Distancia: 0.97
Vertice: 49 | Distancia: 1.62
Vertice: 50 | Distancia: 1.2
Vertice: 51 | Distancia: 1.95
Vertice: 52 | Distancia: 2.37
Vertice: 53 | Distancia: 2.52
Vertice: 54 | Distancia: 2.42
Vertice: 55 | Distancia: 2.57
Vertice: 56 | Distancia: 1.97
Vertice: 57 | Distancia: 1.76
Vertice: 58 | Distancia: 2.55
Vertice: 59 | Distancia: 2.05
Vertice: 60 | Distancia: 1.66
Vertice: 61 | Distancia: 2.44
Vertice: 62 | Distancia: 2.04
Vertice: 63 | Distancia: 2.24
Vertice: 64 | Distancia: 2.55
Vertice: 65 | Distancia: 2.22
Vertice: 66 | Distancia: 1.98
Vertice: 67 | Distancia: 1.79
Vertice: 68 | Distancia: 2.47
Vertice: 69 | Distancia: 2.15
Vertice: 70 | Distancia: 2.1
Vertice: 71 | Distancia: 1.98
Vertice: 72 | Distancia: 2.13
Vertice: 73 | Distancia: 2.16
Vertice: 74 | Distancia: 2.3
Vertice: 75 | Distancia: 2.03
Vertice: 76 | Distancia: 1.25
Vertice: 77 | Distancia: 3.59
Vertice: 78 | Distancia: 1.39
Vertice: 79 | Distancia: 1.66
Vertice: 80 | Distancia: 2.52
Vertice: 81 | Distancia: 2.02
Vertice: 82 | Distancia: 3.04
Vertice: 83 | Distancia: 1.86
Vertice: 84 | Distancia: 2.42
Vertice: 85 | Distancia: 2.2
Vertice: 86 | Distancia: 2.01
Vertice: 87 | Distancia: 1.76
Vertice: 88 | Distancia: 2.63
Vertice: 89 | Distancia: 2.32
Vertice: 90 | Distancia: 2.7
Vertice: 91 | Distancia: 2.13
Vertice: 92 | Distancia: 2.15
Vertice: 93 | Distancia: 2.15
Vertice: 94 | Distancia: 2.38
Vertice: 95 | Distancia: 1.89
Vertice: 96 | Distancia: 1.65
Vertice: 97 | Distancia: 1.92
Vertice: 98 | Distancia: 2.57
Vertice: 99 | Distancia: 2.93
Vertice: 100 | Distancia: 2.91
