Vertice: 1 | Pai: 36987 | Level: 10 | Grau:113
Vertice: 2 | Pai: 79585 | Level: 9 | Grau:106
Vertice: 3 | Pai: 58439 | Level: 14 | Grau:121
Vertice: 4 | Pai: 16062 | Level: 16 | Grau:132
Vertice: 5 | Pai: 85738 | Level: 16 | Grau:130
Vertice: 6 | Pai: 51476 | Level: 7 | Grau:124
Vertice: 7 | Pai: 61785 | Level: 15 | Grau:106
Vertice: 8 | Pai: 47739 | Level: 11 | Grau:120
Vertice: 9 | Pai: 47676 | Level: 7 | Grau:137
Vertice: 10 | Pai: 0 | Level: 0 | Grau:129
Vertice: 11 | Pai: 28290 | Level: 12 | Grau:122
Vertice: 12 | Pai: 47864 | Level: 15 | Grau:121
Vertice: 13 | Pai: 45096 | Level: 12 | Grau:132
Vertice: 14 | Pai: 79549 | Level: 11 | Grau:108
Vertice: 15 | Pai: 96227 | Level: 17 | Grau:98
Vertice: 16 | Pai: 73791 | Level: 17 | Grau:135
Vertice: 17 | Pai: 310 | Level: 17 | Grau:139
Vertice: 18 | Pai: 37134 | Level: 15 | Grau:141
Vertice: 19 | Pai: 33307 | Level: 16 | Grau:100
Vertice: 20 | Pai: 15760 | Level: 18 | Grau:117
Vertice: 21 | Pai: 84349 | Level: 17 | Grau:124
Vertice: 22 | Pai: 40790 | Level: 18 | Grau:135
Vertice: 23 | Pai: 48368 | Level: 18 | Grau:118
Vertice: 24 | Pai: 37552 | Level: 23 | Grau:120
Vertice: 25 | Pai: 83230 | Level: 15 | Grau:120
Vertice: 26 | Pai: 79235 | Level: 11 | Grau:116
Vertice: 27 | Pai: 59008 | Level: 14 | Grau:113
Vertice: 28 | Pai: 7387 | Level: 8 | Grau:133
Vertice: 29 | Pai: 6646 | Level: 11 | Grau:135
Vertice: 30 | Pai: 26151 | Level: 14 | Grau:118
Vertice: 31 | Pai: 77253 | Level: 8 | Grau:112
Vertice: 32 | Pai: 62533 | Level: 6 | Grau:127
Vertice: 33 | Pai: 20156 | Level: 19 | Grau:106
Vertice: 34 | Pai: 49076 | Level: 14 | Grau:102
Vertice: 35 | Pai: 91851 | Level: 11 | Grau:126
Vertice: 36 | Pai: 51329 | Level: 12 | Grau:125
Vertice: 37 | Pai: 36687 | Level: 18 | Grau:120
Vertice: 38 | Pai: 42953 | Level: 9 | Grau:124
Vertice: 39 | Pai: 28756 | Level: 13 | Grau:116
Vertice: 40 | Pai: 46307 | Level: 10 | Grau:119
Vertice: 41 | Pai: 55789 | Level: 10 | Grau:130
Vertice: 42 | Pai: 39477 | Level: 15 | Grau:129
Vertice: 43 | Pai: 95321 | Level: 8 | Grau:111
Vertice: 44 | Pai: 18941 | Level: 12 | Grau:130
Vertice: 45 | Pai: 2587 | Level: 15 | Grau:140
Vertice: 46 | Pai: 4953 | Level: 16 | Grau:118
Vertice: 47 | Pai: 79126 | Level: 7 | Grau:113
Vertice: 48 | Pai: 94797 | Level: 14 | Grau:127
Vertice: 49 | Pai: 77718 | Level: 4 | Grau:128
Vertice: 50 | Pai: 19878 | Level: 9 | Grau:118
Vertice: 51 | Pai: 91355 | Level: 10 | Grau:140
Vertice: 52 | Pai: 7804 | Level: 15 | Grau:125
Vertice: 53 | Pai: 79162 | Level: 17 | Grau:115
Vertice: 54 | Pai: 84898 | Level: 15 | Grau:126
Vertice: 55 | Pai: 11255 | Level: 10 | Grau:133
Vertice: 56 | Pai: 25546 | Level: 7 | Grau:105
Vertice: 57 | Pai: 9821 | Level: 11 | Grau:105
Vertice: 58 | Pai: 87199 | Level: 9 | Grau:127
Vertice: 59 | Pai: 89747 | Level: 11 | Grau:109
Vertice: 60 | Pai: 8718 | Level: 16 | Grau:111
Vertice: 61 | Pai: 62331 | Level: 13 | Grau:124
Vertice: 62 | Pai: 46371 | Level: 8 | Grau:144
Vertice: 63 | Pai: 97132 | Level: 12 | Grau:126
Vertice: 64 | Pai: 39615 | Level: 11 | Grau:129
Vertice: 65 | Pai: 24535 | Level: 13 | Grau:124
Vertice: 66 | Pai: 9166 | Level: 16 | Grau:131
Vertice: 67 | Pai: 52654 | Level: 10 | Grau:110
Vertice: 68 | Pai: 32052 | Level: 14 | Grau:115
Vertice: 69 | Pai: 46789 | Level: 7 | Grau:118
Vertice: 70 | Pai: 56679 | Level: 14 | Grau:116
Vertice: 71 | Pai: 34226 | Level: 9 | Grau:124
Vertice: 72 | Pai: 42245 | Level: 13 | Grau:113
Vertice: 73 | Pai: 37171 | Level: 15 | Grau:145
Vertice: 74 | Pai: 43708 | Level: 9 | Grau:109
Vertice: 75 | Pai: 52061 | Level: 17 | Grau:137
Vertice: 76 | Pai: 45946 | Level: 12 | Grau:106
Vertice: 77 | Pai: 85142 | Level: 14 | Grau:117
Vertice: 78 | Pai: 69114 | Level: 16 | Grau:136
Vertice: 79 | Pai: 68091 | Level: 11 | Grau:126
Vertice: 80 | Pai: 44935 | Level: 9 | Grau:122
Vertice: 81 | Pai: 13421 | Level: 9 | Grau:112
Vertice: 82 | Pai: 34168 | Level: 8 | Grau:108
Vertice: 83 | Pai: 27719 | Level: 15 | Grau:101
Vertice: 84 | Pai: 35097 | Level: 13 | Grau:133
Vertice: 85 | Pai: 60661 | Level: 10 | Grau:128
Vertice: 86 | Pai: 22768 | Level: 17 | Grau:143
Vertice: 87 | Pai: 15944 | Level: 14 | Grau:139
Vertice: 88 | Pai: 76026 | Level: 8 | Grau:128
Vertice: 89 | Pai: 78480 | Level: 14 | Grau:129
Vertice: 90 | Pai: 863 | Level: 9 | Grau:124
Vertice: 91 | Pai: 84781 | Level: 14 | Grau:135
Vertice: 92 | Pai: 17693 | Level: 9 | Grau:117
Vertice: 93 | Pai: 35488 | Level: 11 | Grau:120
Vertice: 94 | Pai: 29970 | Level: 18 | Grau:106
