Vertice: 1 | Distancia: 2.38
Vertice: 2 | Distancia: 2.94
Vertice: 3 | Distancia: 2.09
Vertice: 4 | Distancia: 2.38
Vertice: 5 | Distancia: 2.2
Vertice: 6 | Distancia: 2.26
Vertice: 7 | Distancia: 2.43
Vertice: 8 | Distancia: 2.82
Vertice: 9 | Distancia: 2.38
Vertice: 10 | Distancia: 0
Vertice: 11 | Distancia: 2.24
Vertice: 12 | Distancia: 2.24
Vertice: 13 | Distancia: 2.41
Vertice: 14 | Distancia: 2.44
Vertice: 15 | Distancia: 2.21
Vertice: 16 | Distancia: 2.49
Vertice: 17 | Distancia: 2.07
Vertice: 18 | Distancia: 2
Vertice: 19 | Distancia: 3.08
Vertice: 20 | Distancia: 2.66
Vertice: 21 | Distancia: 2.89
Vertice: 22 | Distancia: 2.38
Vertice: 23 | Distancia: 2.86
Vertice: 24 | Distancia: 2.72
Vertice: 25 | Distancia: 2.07
Vertice: 26 | Distancia: 2.08
Vertice: 27 | Distancia: 2.5
Vertice: 28 | Distancia: 2.3
Vertice: 29 | Distancia: 2.37
Vertice: 30 | Distancia: 2.02
Vertice: 31 | Distancia: 2.46
Vertice: 32 | Distancia: 2.66
Vertice: 33 | Distancia: 2.44
Vertice: 34 | Distancia: 2.19
Vertice: 35 | Distancia: 2.38
Vertice: 36 | Distancia: 2.55
Vertice: 37 | Distancia: 2.63
Vertice: 38 | Distancia: 2.43
Vertice: 39 | Distancia: 1.77
Vertice: 40 | Distancia: 2.52
Vertice: 41 | Distancia: 2.91
Vertice: 42 | Distancia: 1.82
Vertice: 43 | Distancia: 2.27
Vertice: 44 | Distancia: 2.48
Vertice: 45 | Distancia: 2.3
Vertice: 46 | Distancia: 2.29
Vertice: 47 | Distancia: 2.21
Vertice: 48 | Distancia: 2.05
Vertice: 49 | Distancia: 1.9
Vertice: 50 | Distancia: 2.69
Vertice: 51 | Distancia: 2.03
Vertice: 52 | Distancia: 2.6
Vertice: 53 | Distancia: 2.44
Vertice: 54 | Distancia: 2.22
Vertice: 55 | Distancia: 2.34
Vertice: 56 | Distancia: 2.42
Vertice: 57 | Distancia: 2.05
Vertice: 58 | Distancia: 2.76
Vertice: 59 | Distancia: 2.12
Vertice: 60 | Distancia: 2.41
Vertice: 61 | Distancia: 2.21
Vertice: 62 | Distancia: 2.47
Vertice: 63 | Distancia: 2.4
Vertice: 64 | Distancia: 2.62
Vertice: 65 | Distancia: 2.55
Vertice: 66 | Distancia: 2.18
Vertice: 67 | Distancia: 2.28
Vertice: 68 | Distancia: 2.14
Vertice: 69 | Distancia: 2.67
Vertice: 70 | Distancia: 2.07
Vertice: 71 | Distancia: 1.96
Vertice: 72 | Distancia: 2.19
Vertice: 73 | Distancia: 2.04
Vertice: 74 | Distancia: 2.72
Vertice: 75 | Distancia: 2.05
Vertice: 76 | Distancia: 2.52
Vertice: 77 | Distancia: 2.49
Vertice: 78 | Distancia: 1.95
Vertice: 79 | Distancia: 2.1
Vertice: 80 | Distancia: 2.3
Vertice: 81 | Distancia: 1.87
Vertice: 82 | Distancia: 2.44
Vertice: 83 | Distancia: 2.54
Vertice: 84 | Distancia: 2.88
Vertice: 85 | Distancia: 2.84
Vertice: 86 | Distancia: 2.79
Vertice: 87 | Distancia: 2.28
Vertice: 88 | Distancia: 2.37
Vertice: 89 | Distancia: 2.33
Vertice: 90 | Distancia: 2.4
Vertice: 91 | Distancia: 2.01
Vertice: 92 | Distancia: 2.59
Vertice: 93 | Distancia: 2.82
Vertice: 94 | Distancia: 2.42
Vertice: 95 | Distancia: 1.77
Vertice: 96 | Distancia: 1.99
Vertice: 97 | Distancia: 2.1
Vertice: 98 | Distancia: 2.29
Vertice: 99 | Distancia: 2.57
Vertice: 100 | Distancia: 2.29
