Vertice: 1 | Pai: 106519 | Level: 16 | Grau:50
Vertice: 2 | Pai: 997034 | Level: 15 | Grau:50
Vertice: 3 | Pai: 980910 | Level: 14 | Grau:76
Vertice: 4 | Pai: 571328 | Level: 16 | Grau:60
Vertice: 5 | Pai: 378119 | Level: 18 | Grau:72
Vertice: 6 | Pai: 889694 | Level: 13 | Grau:54
Vertice: 7 | Pai: 996474 | Level: 14 | Grau:55
Vertice: 8 | Pai: 877608 | Level: 14 | Grau:57
Vertice: 9 | Pai: 861383 | Level: 14 | Grau:50
Vertice: 10 | Pai: 0 | Level: 0 | Grau:53
Vertice: 11 | Pai: 87675 | Level: 21 | Grau:70
Vertice: 12 | Pai: 305482 | Level: 13 | Grau:57
Vertice: 13 | Pai: 309523 | Level: 16 | Grau:74
Vertice: 14 | Pai: 468774 | Level: 15 | Grau:45
Vertice: 15 | Pai: 912593 | Level: 12 | Grau:71
Vertice: 16 | Pai: 694496 | Level: 13 | Grau:57
Vertice: 17 | Pai: 229513 | Level: 20 | Grau:66
Vertice: 18 | Pai: 262907 | Level: 13 | Grau:57
Vertice: 19 | Pai: 527994 | Level: 15 | Grau:55
Vertice: 20 | Pai: 807260 | Level: 13 | Grau:71
Vertice: 21 | Pai: 594996 | Level: 14 | Grau:71
Vertice: 22 | Pai: 203254 | Level: 15 | Grau:61
Vertice: 23 | Pai: 464861 | Level: 9 | Grau:70
Vertice: 24 | Pai: 48048 | Level: 21 | Grau:60
Vertice: 25 | Pai: 3071 | Level: 15 | Grau:70
Vertice: 26 | Pai: 990682 | Level: 15 | Grau:57
Vertice: 27 | Pai: 901553 | Level: 14 | Grau:57
Vertice: 28 | Pai: 412425 | Level: 18 | Grau:61
Vertice: 29 | Pai: 690341 | Level: 15 | Grau:60
Vertice: 30 | Pai: 707581 | Level: 17 | Grau:66
Vertice: 31 | Pai: 295214 | Level: 14 | Grau:69
Vertice: 32 | Pai: 878343 | Level: 19 | Grau:74
